,Initial PnL,Adjusted PnL,Difference
Decision Tree,-2083.2233005096514,8741.873670294586,10825.096970804238
SGD Classifier,-2083.2233005096514,-3958.4943402328126,-1875.2710397231613
KNN (k=9),-2083.2233005096514,-5991.761003166832,-3908.5377026571805
Random Forest,-2083.2233005096514,1422.390541032324,3505.6138415419755
MLP Classifier,-2083.2233005096514,-4641.602060910031,-2558.378760400379
AdaBoost,-2083.2233005096514,-3832.3396110837875,-1749.1163105741362
