,index,Short_ticker,Name,Ticker,Date,Event Type,Adjusted Trading Date,trade_entry,trade_exit
30,3658,AA,Alcoa Corp,AA US,2019-04-17 16:10:00,ER,2019-04-18 00:00:00+00:00,2019-04-16 16:10:00,2019-04-17 16:10:00
31,3660,AA,Alcoa Corp,AA US,2019-04-17 16:10:00,ER,2019-04-18 00:00:00+00:00,2019-04-16 16:10:00,2019-04-17 16:10:00
32,5162,AA,Alcoa Corp,AA US,2019-07-17 16:10:00,ER,2019-07-18 00:00:00+00:00,2019-07-16 16:10:00,2019-07-17 16:10:00
33,5163,AA,Alcoa Corp,AA US,2019-07-17 16:10:00,ER,2019-07-18 00:00:00+00:00,2019-07-16 16:10:00,2019-07-17 16:10:00
34,6134,AA,Alcoa Corp,AA US,2019-10-16 16:10:00,ER,2019-10-17 00:00:00+00:00,2019-10-15 16:10:00,2019-10-16 16:10:00
35,6875,AA,Alcoa Corp,AA US,2020-01-15 16:14:00,ER,2020-01-16 00:00:00+00:00,2020-01-14 16:14:00,2020-01-15 16:14:00
36,7692,AA,Alcoa Corp,AA US,2020-04-22 16:10:00,ER,2020-04-23 00:00:00+00:00,2020-04-21 16:10:00,2020-04-22 16:10:00
37,8386,AA,Alcoa Corp,AA US,2020-07-15 16:10:00,ER,2020-07-16 00:00:00+00:00,2020-07-14 16:10:00,2020-07-15 16:10:00
38,9162,AA,Alcoa Corp,AA US,2020-10-14 16:10:00,ER,2020-10-15 00:00:00+00:00,2020-10-13 16:10:00,2020-10-14 16:10:00
39,9974,AA,Alcoa Corp,AA US,2021-01-20 16:10:00,ER,2021-01-21 00:00:00+00:00,2021-01-19 16:10:00,2021-01-20 16:10:00
40,10401,AA,Alcoa Corp,AA US,2021-07-15 16:10:00,ER,2021-07-16 00:00:00+00:00,2021-07-14 16:10:00,2021-07-15 16:10:00
41,11253,AA,Alcoa Corp,AA US,2021-10-14 16:14:00,ER,2021-10-15 00:00:00+00:00,2021-10-13 16:14:00,2021-10-14 16:14:00
42,12133,AA,Alcoa Corp,AA US,2022-01-19 16:10:00,ER,2022-01-20 00:00:00+00:00,2022-01-18 16:10:00,2022-01-19 16:10:00
43,13032,AA,Alcoa Corp,AA US,2022-04-20 16:12:00,ER,2022-04-21 00:00:00+00:00,2022-04-19 16:12:00,2022-04-20 16:12:00
44,13895,AA,Alcoa Corp,AA US,2022-07-20 16:10:00,ER,2022-07-21 00:00:00+00:00,2022-07-19 16:10:00,2022-07-20 16:10:00
45,14773,AA,Alcoa Corp,AA US,2022-10-19 16:16:00,ER,2022-10-20 00:00:00+00:00,2022-10-18 16:16:00,2022-10-19 16:16:00
46,15585,AA,Alcoa Corp,AA US,2023-01-18 16:10:00,ER,2023-01-19 00:00:00+00:00,2023-01-17 16:10:00,2023-01-18 16:10:00
47,16484,AA,Alcoa Corp,AA US,2023-04-19 16:10:00,ER,2023-04-20 00:00:00+00:00,2023-04-18 16:10:00,2023-04-19 16:10:00
48,17360,AA,Alcoa Corp,AA US,2023-07-19 16:10:00,ER,2023-07-20 00:00:00+00:00,2023-07-18 16:10:00,2023-07-19 16:10:00
49,18241,AA,Alcoa Corp,AA US,2023-10-18 16:12:00,ER,2023-10-19 00:00:00+00:00,2023-10-17 16:12:00,2023-10-18 16:12:00
50,19106,AA,Alcoa Corp,AA US,2024-01-17 16:10:00,ER,2024-01-18 00:00:00+00:00,2024-01-16 16:10:00,2024-01-17 16:10:00
51,20010,AA,Alcoa Corp,AA US,2024-04-17 17:00:00,ER,2024-04-18 00:00:00+00:00,2024-04-17 17:00:00,2024-04-18 17:00:00
52,101,AAL,American Airlines Group Inc,AAL US,2018-01-25 07:30:00,ER,2018-01-24 00:00:00+00:00,2018-01-24 07:30:00,2018-01-25 07:30:00
53,915,AAL,American Airlines Group Inc,AAL US,2018-04-26 07:30:00,ER,2018-04-25 00:00:00+00:00,2018-04-25 07:30:00,2018-04-26 07:30:00
54,1622,AAL,American Airlines Group Inc,AAL US,2018-07-26 07:30:00,ER,2018-07-25 00:00:00+00:00,2018-07-25 07:30:00,2018-07-26 07:30:00
55,2312,AAL,American Airlines Group Inc,AAL US,2018-10-25 07:30:00,ER,2018-10-24 00:00:00+00:00,2018-10-24 07:30:00,2018-10-25 07:30:00
56,2923,AAL,American Airlines Group Inc,AAL US,2019-01-24 07:30:00,ER,2019-01-23 00:00:00+00:00,2019-01-23 07:30:00,2019-01-24 07:30:00
57,4002,AAL,American Airlines Group Inc,AAL US,2019-04-26 07:30:00,ER,2019-04-25 00:00:00+00:00,2019-04-25 07:30:00,2019-04-26 07:30:00
58,4003,AAL,American Airlines Group Inc,AAL US,2019-04-26 07:30:00,ER,2019-04-25 00:00:00+00:00,2019-04-25 07:30:00,2019-04-26 07:30:00
59,5448,AAL,American Airlines Group Inc,AAL US,2019-07-25 07:30:00,ER,2019-07-24 00:00:00+00:00,2019-07-24 07:30:00,2019-07-25 07:30:00
60,5451,AAL,American Airlines Group Inc,AAL US,2019-07-25 07:30:00,ER,2019-07-24 00:00:00+00:00,2019-07-24 07:30:00,2019-07-25 07:30:00
61,6257,AAL,American Airlines Group Inc,AAL US,2019-10-24 07:30:00,ER,2019-10-23 00:00:00+00:00,2019-10-23 07:30:00,2019-10-24 07:30:00
62,6918,AAL,American Airlines Group Inc,AAL US,2020-01-23 07:30:00,ER,2020-01-22 00:00:00+00:00,2020-01-22 07:30:00,2020-01-23 07:30:00
63,7861,AAL,American Airlines Group Inc,AAL US,2020-04-30 07:30:00,ER,2020-04-29 00:00:00+00:00,2020-04-29 07:30:00,2020-04-30 07:30:00
64,8472,AAL,American Airlines Group Inc,AAL US,2020-07-23 07:01:00,ER,2020-07-22 00:00:00+00:00,2020-07-22 07:01:00,2020-07-23 07:01:00
65,9254,AAL,American Airlines Group Inc,AAL US,2020-10-22 07:00:00,ER,2020-10-21 00:00:00+00:00,2020-10-21 07:00:00,2020-10-22 07:00:00
66,10083,AAL,American Airlines Group Inc,AAL US,2021-01-28 07:01:00,ER,2021-01-27 00:00:00+00:00,2021-01-27 07:01:00,2021-01-28 07:01:00
67,10466,AAL,American Airlines Group Inc,AAL US,2021-07-22 07:00:00,ER,2021-07-21 00:00:00+00:00,2021-07-21 07:00:00,2021-07-22 07:00:00
68,11316,AAL,American Airlines Group Inc,AAL US,2021-10-21 07:00:00,ER,2021-10-20 00:00:00+00:00,2021-10-20 07:00:00,2021-10-21 07:00:00
69,12140,AAL,American Airlines Group Inc,AAL US,2022-01-20 07:00:00,ER,2022-01-19 00:00:00+00:00,2022-01-19 07:00:00,2022-01-20 07:00:00
70,13048,AAL,American Airlines Group Inc,AAL US,2022-04-21 07:00:00,ER,2022-04-20 00:00:00+00:00,2022-04-20 07:00:00,2022-04-21 07:00:00
71,13917,AAL,American Airlines Group Inc,AAL US,2022-07-21 07:00:00,ER,2022-07-20 00:00:00+00:00,2022-07-20 07:00:00,2022-07-21 07:00:00
72,14790,AAL,American Airlines Group Inc,AAL US,2022-10-20 07:00:00,ER,2022-10-19 00:00:00+00:00,2022-10-19 07:00:00,2022-10-20 07:00:00
73,15671,AAL,American Airlines Group Inc,AAL US,2023-01-26 07:00:00,ER,2023-01-25 00:00:00+00:00,2023-01-25 07:00:00,2023-01-26 07:00:00
74,16662,AAL,American Airlines Group Inc,AAL US,2023-04-27 07:00:00,ER,2023-04-26 00:00:00+00:00,2023-04-26 07:00:00,2023-04-27 07:00:00
75,17373,AAL,American Airlines Group Inc,AAL US,2023-07-20 07:00:00,ER,2023-07-19 00:00:00+00:00,2023-07-19 07:00:00,2023-07-20 07:00:00
76,18255,AAL,American Airlines Group Inc,AAL US,2023-10-19 07:00:00,ER,2023-10-18 00:00:00+00:00,2023-10-18 07:00:00,2023-10-19 07:00:00
77,19180,AAL,American Airlines Group Inc,AAL US,2024-01-25 07:00:00,ER,2024-01-24 00:00:00+00:00,2024-01-24 07:00:00,2024-01-25 07:00:00
78,456,AAP,Advance Auto Parts Inc,AAP US,2018-02-21 06:30:00,ER,2018-02-20 00:00:00+00:00,2018-02-20 06:30:00,2018-02-21 06:30:00
79,1322,AAP,Advance Auto Parts Inc,AAP US,2018-05-22 06:30:00,ER,2018-05-21 00:00:00+00:00,2018-05-21 06:30:00,2018-05-22 06:30:00
80,2018,AAP,Advance Auto Parts Inc,AAP US,2018-08-14 06:30:00,ER,2018-08-13 00:00:00+00:00,2018-08-13 06:30:00,2018-08-14 06:30:00
81,2727,AAP,Advance Auto Parts Inc,AAP US,2018-11-13 06:30:00,ER,2018-11-12 00:00:00+00:00,2018-11-12 06:30:00,2018-11-13 06:30:00
82,3274,AAP,Advance Auto Parts Inc,AAP US,2019-02-19 06:30:00,ER,2019-02-15 00:00:00+00:00,2019-02-15 06:30:00,2019-02-19 06:30:00
83,4917,AAP,Advance Auto Parts Inc,AAP US,2019-05-22 06:30:00,ER,2019-05-21 00:00:00+00:00,2019-05-21 06:30:00,2019-05-22 06:30:00
84,4919,AAP,Advance Auto Parts Inc,AAP US,2019-05-22 06:30:00,ER,2019-05-21 00:00:00+00:00,2019-05-21 06:30:00,2019-05-22 06:30:00
85,5977,AAP,Advance Auto Parts Inc,AAP US,2019-08-13 06:30:00,ER,2019-08-12 00:00:00+00:00,2019-08-12 06:30:00,2019-08-13 06:30:00
86,6716,AAP,Advance Auto Parts Inc,AAP US,2019-11-12 06:30:00,ER,2019-11-11 00:00:00+00:00,2019-11-11 06:30:00,2019-11-12 06:30:00
87,7292,AAP,Advance Auto Parts Inc,AAP US,2020-02-18 06:30:00,ER,2020-02-14 00:00:00+00:00,2020-02-14 06:30:00,2020-02-18 06:30:00
88,8254,AAP,Advance Auto Parts Inc,AAP US,2020-05-19 06:30:00,ER,2020-05-18 00:00:00+00:00,2020-05-18 06:30:00,2020-05-19 06:30:00
89,9035,AAP,Advance Auto Parts Inc,AAP US,2020-08-18 06:30:00,ER,2020-08-17 00:00:00+00:00,2020-08-17 06:30:00,2020-08-18 06:30:00
90,9774,AAP,Advance Auto Parts Inc,AAP US,2020-11-10 06:30:00,ER,2020-11-09 00:00:00+00:00,2020-11-09 06:30:00,2020-11-10 06:30:00
91,10315,AAP,Advance Auto Parts Inc,AAP US,2021-06-02 06:30:00,ER,2021-06-01 00:00:00+00:00,2021-06-01 06:30:00,2021-06-02 06:30:00
92,11136,AAP,Advance Auto Parts Inc,AAP US,2021-08-24 06:30:00,ER,2021-08-23 00:00:00+00:00,2021-08-23 06:30:00,2021-08-24 06:30:00
93,11967,AAP,Advance Auto Parts Inc,AAP US,2021-11-15 16:30:00,ER,2021-11-16 00:00:00+00:00,2021-11-12 16:30:00,2021-11-15 16:30:00
94,12507,AAP,Advance Auto Parts Inc,AAP US,2022-02-14 16:45:00,ER,2022-02-15 00:00:00+00:00,2022-02-11 16:45:00,2022-02-14 16:45:00
95,13739,AAP,Advance Auto Parts Inc,AAP US,2022-05-23 16:30:00,ER,2022-05-24 00:00:00+00:00,2022-05-20 16:30:00,2022-05-23 16:30:00
96,14619,AAP,Advance Auto Parts Inc,AAP US,2022-08-23 16:30:00,ER,2022-08-24 00:00:00+00:00,2022-08-22 16:30:00,2022-08-23 16:30:00
97,15433,AAP,Advance Auto Parts Inc,AAP US,2022-11-15 16:30:00,ER,2022-11-16 00:00:00+00:00,2022-11-14 16:30:00,2022-11-15 16:30:00
98,16219,AAP,Advance Auto Parts Inc,AAP US,2023-02-28 06:30:00,ER,2023-02-27 00:00:00+00:00,2023-02-27 06:30:00,2023-02-28 06:30:00
99,17237,AAP,Advance Auto Parts Inc,AAP US,2023-05-31 06:30:00,ER,2023-05-30 00:00:00+00:00,2023-05-30 06:30:00,2023-05-31 06:30:00
100,18091,AAP,Advance Auto Parts Inc,AAP US,2023-08-23 06:30:00,ER,2023-08-22 00:00:00+00:00,2023-08-22 06:30:00,2023-08-23 06:30:00
101,18953,AAP,Advance Auto Parts Inc,AAP US,2023-11-15 06:41:00,ER,2023-11-14 00:00:00+00:00,2023-11-14 06:41:00,2023-11-15 06:41:00
102,19760,AAP,Advance Auto Parts Inc,AAP US,2024-02-28 06:30:00,ER,2024-02-27 00:00:00+00:00,2024-02-27 06:30:00,2024-02-28 06:30:00
103,230,AAPL,Apple Inc,AAPL US,2018-02-01 16:30:00,ER,2018-02-02 00:00:00+00:00,2018-01-31 16:30:00,2018-02-01 16:30:00
104,1040,AAPL,Apple Inc,AAPL US,2018-05-01 16:30:00,ER,2018-05-02 00:00:00+00:00,2018-04-30 16:30:00,2018-05-01 16:30:00
105,1732,AAPL,Apple Inc,AAPL US,2018-07-31 16:30:00,ER,2018-08-01 00:00:00+00:00,2018-07-30 16:30:00,2018-07-31 16:30:00
106,2541,AAPL,Apple Inc,AAPL US,2018-11-01 16:30:00,ER,2018-11-02 00:00:00+00:00,2018-10-31 16:30:00,2018-11-01 16:30:00
107,2975,AAPL,Apple Inc,AAPL US,2019-01-29 16:30:00,ER,2019-01-30 00:00:00+00:00,2019-01-28 16:30:00,2019-01-29 16:30:00
108,4160,AAPL,Apple Inc,AAPL US,2019-04-30 16:30:00,ER,2019-05-01 00:00:00+00:00,2019-04-29 16:30:00,2019-04-30 16:30:00
109,4162,AAPL,Apple Inc,AAPL US,2019-04-30 16:30:00,ER,2019-05-01 00:00:00+00:00,2019-04-29 16:30:00,2019-04-30 16:30:00
110,5634,AAPL,Apple Inc,AAPL US,2019-07-30 16:30:00,ER,2019-07-31 00:00:00+00:00,2019-07-29 16:30:00,2019-07-30 16:30:00
111,6419,AAPL,Apple Inc,AAPL US,2019-10-30 16:30:00,ER,2019-10-31 00:00:00+00:00,2019-10-29 16:30:00,2019-10-30 16:30:00
112,6956,AAPL,Apple Inc,AAPL US,2020-01-28 16:30:00,ER,2020-01-29 00:00:00+00:00,2020-01-27 16:30:00,2020-01-28 16:30:00
113,7900,AAPL,Apple Inc,AAPL US,2020-04-30 16:30:00,ER,2020-05-01 00:00:00+00:00,2020-04-29 16:30:00,2020-04-30 16:30:00
114,8692,AAPL,Apple Inc,AAPL US,2020-07-30 16:30:00,ER,2020-07-31 00:00:00+00:00,2020-07-29 16:30:00,2020-07-30 16:30:00
115,9484,AAPL,Apple Inc,AAPL US,2020-10-29 16:30:00,ER,2020-10-30 00:00:00+00:00,2020-10-28 16:30:00,2020-10-29 16:30:00
116,10060,AAPL,Apple Inc,AAPL US,2021-01-27 16:30:00,ER,2021-01-28 00:00:00+00:00,2021-01-26 16:30:00,2021-01-27 16:30:00
117,10550,AAPL,Apple Inc,AAPL US,2021-07-27 16:30:00,ER,2021-07-28 00:00:00+00:00,2021-07-26 16:30:00,2021-07-27 16:30:00
118,11529,AAPL,Apple Inc,AAPL US,2021-10-28 16:30:00,ER,2021-10-29 00:00:00+00:00,2021-10-27 16:30:00,2021-10-28 16:30:00
119,12253,AAPL,Apple Inc,AAPL US,2022-01-27 16:30:00,ER,2022-01-28 00:00:00+00:00,2022-01-26 16:30:00,2022-01-27 16:30:00
120,13255,AAPL,Apple Inc,AAPL US,2022-04-28 16:30:00,ER,2022-04-29 00:00:00+00:00,2022-04-27 16:30:00,2022-04-28 16:30:00
121,14124,AAPL,Apple Inc,AAPL US,2022-07-28 16:30:00,ER,2022-07-29 00:00:00+00:00,2022-07-27 16:30:00,2022-07-28 16:30:00
122,14988,AAPL,Apple Inc,AAPL US,2022-10-27 16:30:00,ER,2022-10-28 00:00:00+00:00,2022-10-26 16:30:00,2022-10-27 16:30:00
123,15808,AAPL,Apple Inc,AAPL US,2023-02-02 16:30:00,ER,2023-02-03 00:00:00+00:00,2023-02-01 16:30:00,2023-02-02 16:30:00
124,16978,AAPL,Apple Inc,AAPL US,2023-05-04 16:30:00,ER,2023-05-05 00:00:00+00:00,2023-05-03 16:30:00,2023-05-04 16:30:00
125,17866,AAPL,Apple Inc,AAPL US,2023-08-03 16:30:00,ER,2023-08-04 00:00:00+00:00,2023-08-02 16:30:00,2023-08-03 16:30:00
126,18717,AAPL,Apple Inc,AAPL US,2023-11-02 16:30:00,ER,2023-11-03 00:00:00+00:00,2023-11-01 16:30:00,2023-11-02 16:30:00
127,19290,AAPL,Apple Inc,AAPL US,2024-02-01 16:30:00,ER,2024-02-02 00:00:00+00:00,2024-01-31 16:30:00,2024-02-01 16:30:00
128,126,ABBV,AbbVie Inc,ABBV US,2018-01-26 07:51:00,ER,2018-01-25 00:00:00+00:00,2018-01-25 07:51:00,2018-01-26 07:51:00
129,918,ABBV,AbbVie Inc,ABBV US,2018-04-26 07:47:00,ER,2018-04-25 00:00:00+00:00,2018-04-25 07:47:00,2018-04-26 07:47:00
130,1674,ABBV,AbbVie Inc,ABBV US,2018-07-27 07:38:00,ER,2018-07-26 00:00:00+00:00,2018-07-26 07:38:00,2018-07-27 07:38:00
131,2552,ABBV,AbbVie Inc,ABBV US,2018-11-02 07:47:00,ER,2018-11-01 00:00:00+00:00,2018-11-01 07:47:00,2018-11-02 07:47:00
132,2941,ABBV,AbbVie Inc,ABBV US,2019-01-25 07:42:00,ER,2019-01-24 00:00:00+00:00,2019-01-24 07:42:00,2019-01-25 07:42:00
133,3926,ABBV,AbbVie Inc,ABBV US,2019-04-25 07:42:00,ER,2019-04-24 00:00:00+00:00,2019-04-24 07:42:00,2019-04-25 07:42:00
134,3927,ABBV,AbbVie Inc,ABBV US,2019-04-25 07:42:00,ER,2019-04-24 00:00:00+00:00,2019-04-24 07:42:00,2019-04-25 07:42:00
135,5530,ABBV,AbbVie Inc,ABBV US,2019-07-26 07:42:00,ER,2019-07-25 00:00:00+00:00,2019-07-25 07:42:00,2019-07-26 07:42:00
136,5531,ABBV,AbbVie Inc,ABBV US,2019-07-26 07:42:00,ER,2019-07-25 00:00:00+00:00,2019-07-25 07:42:00,2019-07-26 07:42:00
137,6504,ABBV,AbbVie Inc,ABBV US,2019-11-01 07:47:00,ER,2019-10-31 00:00:00+00:00,2019-10-31 07:47:00,2019-11-01 07:47:00
138,7194,ABBV,AbbVie Inc,ABBV US,2020-02-07 07:43:00,ER,2020-02-06 00:00:00+00:00,2020-02-06 07:43:00,2020-02-07 07:43:00
139,7920,ABBV,AbbVie Inc,ABBV US,2020-05-01 07:43:00,ER,2020-04-30 00:00:00+00:00,2020-04-30 07:43:00,2020-05-01 07:43:00
140,8721,ABBV,AbbVie Inc,ABBV US,2020-07-31 07:43:00,ER,2020-07-30 00:00:00+00:00,2020-07-30 07:43:00,2020-07-31 07:43:00
141,9503,ABBV,AbbVie Inc,ABBV US,2020-10-30 07:47:00,ER,2020-10-29 00:00:00+00:00,2020-10-29 07:47:00,2020-10-30 07:47:00
142,10708,ABBV,AbbVie Inc,ABBV US,2021-07-30 07:44:00,ER,2021-07-29 00:00:00+00:00,2021-07-29 07:44:00,2021-07-30 07:44:00
143,11540,ABBV,AbbVie Inc,ABBV US,2021-10-29 07:40:00,ER,2021-10-28 00:00:00+00:00,2021-10-28 07:40:00,2021-10-29 07:40:00
144,12307,ABBV,AbbVie Inc,ABBV US,2022-02-02 07:43:00,ER,2022-02-01 00:00:00+00:00,2022-02-01 07:43:00,2022-02-02 07:43:00
145,13271,ABBV,AbbVie Inc,ABBV US,2022-04-29 07:43:00,ER,2022-04-28 00:00:00+00:00,2022-04-28 07:43:00,2022-04-29 07:43:00
146,14140,ABBV,AbbVie Inc,ABBV US,2022-07-29 07:41:00,ER,2022-07-28 00:00:00+00:00,2022-07-28 07:41:00,2022-07-29 07:41:00
147,15002,ABBV,AbbVie Inc,ABBV US,2022-10-28 07:44:00,ER,2022-10-27 00:00:00+00:00,2022-10-27 07:44:00,2022-10-28 07:44:00
148,15928,ABBV,AbbVie Inc,ABBV US,2023-02-09 07:44:00,ER,2023-02-08 00:00:00+00:00,2023-02-08 07:44:00,2023-02-09 07:44:00
149,16670,ABBV,AbbVie Inc,ABBV US,2023-04-27 07:32:00,ER,2023-04-26 00:00:00+00:00,2023-04-26 07:32:00,2023-04-27 07:32:00
150,17533,ABBV,AbbVie Inc,ABBV US,2023-07-27 07:38:00,ER,2023-07-26 00:00:00+00:00,2023-07-26 07:38:00,2023-07-27 07:38:00
151,18450,ABBV,AbbVie Inc,ABBV US,2023-10-27 07:38:00,ER,2023-10-26 00:00:00+00:00,2023-10-26 07:38:00,2023-10-27 07:38:00
152,19303,ABBV,AbbVie Inc,ABBV US,2024-02-02 07:36:00,ER,2024-02-01 00:00:00+00:00,2024-02-01 07:36:00,2024-02-02 07:36:00
153,681,ABIO,ARCA biopharma Inc,ABIO US,2018-03-22 16:30:00,ER,2018-03-23 00:00:00+00:00,2018-03-21 16:30:00,2018-03-22 16:30:00
154,1236,ABIO,ARCA biopharma Inc,ABIO US,2018-05-08 16:15:00,ER,2018-05-09 00:00:00+00:00,2018-05-07 16:15:00,2018-05-08 16:15:00
155,2005,ABIO,ARCA biopharma Inc,ABIO US,2018-08-09 16:15:00,ER,2018-08-10 00:00:00+00:00,2018-08-08 16:15:00,2018-08-09 16:15:00
156,2741,ABIO,ARCA biopharma Inc,ABIO US,2018-11-14 16:30:00,ER,2018-11-15 00:00:00+00:00,2018-11-13 16:30:00,2018-11-14 16:30:00
157,3392,ABIO,ARCA biopharma Inc,ABIO US,2019-02-27 06:00:00,ER,2019-02-26 00:00:00+00:00,2019-02-26 06:00:00,2019-02-27 06:00:00
158,4642,ABIO,ARCA biopharma Inc,ABIO US,2019-05-08 07:00:00,ER,2019-05-07 00:00:00+00:00,2019-05-07 07:00:00,2019-05-08 07:00:00
159,4651,ABIO,ARCA biopharma Inc,ABIO US,2019-05-08 07:00:00,ER,2019-05-07 00:00:00+00:00,2019-05-07 07:00:00,2019-05-08 07:00:00
160,4663,ABIO,ARCA biopharma Inc,ABIO US,2019-05-08 07:00:00,ER,2019-05-07 00:00:00+00:00,2019-05-07 07:00:00,2019-05-08 07:00:00
161,5790,ABIO,ARCA biopharma Inc,ABIO US,2019-08-01 16:18:00,ER,2019-08-02 00:00:00+00:00,2019-07-31 16:18:00,2019-08-01 16:18:00
162,6624,ABIO,ARCA biopharma Inc,ABIO US,2019-11-06 16:10:00,ER,2019-11-07 00:00:00+00:00,2019-11-05 16:10:00,2019-11-06 16:10:00
163,7306,ABIO,ARCA biopharma Inc,ABIO US,2020-02-18 16:30:00,ER,2020-02-19 00:00:00+00:00,2020-02-14 16:30:00,2020-02-18 16:30:00
164,8070,ABIO,ARCA biopharma Inc,ABIO US,2020-05-06 16:18:00,ER,2020-05-07 00:00:00+00:00,2020-05-05 16:18:00,2020-05-06 16:18:00
165,8859,ABIO,ARCA biopharma Inc,ABIO US,2020-08-05 16:15:00,ER,2020-08-06 00:00:00+00:00,2020-08-04 16:15:00,2020-08-05 16:15:00
166,9520,ABIO,ARCA biopharma Inc,ABIO US,2020-11-02 08:30:00,ER,2020-10-30 00:00:00+00:00,2020-10-30 08:30:00,2020-11-02 08:30:00
