ticker
TROW
ADX
HON
RMCF
AMRC
ORCL
JJSF
HNGR
TECD
MSFT
FKWL
RGEN
ELA
AT
ESBK
PLXS
INDB
BWXT
FUND
DLHC
PTVCB
DSS
HVT
BCPC
DJCO
WERN
TCF
ASTE
CLDX
AMAG
SKYW
AMWD
TMP
FRPH
XOMA
REFR
ADM
KSPN
AAN
PRG
PDEX
WTS
CLFD
PTSI
FNB
LAKE
VIVO
ACET
CYAN
OSUR
HTLD
BKSC
EHC
FCNCA
CAL
FISV
BC
WSFS
DXYN
WBS
CERN
CDR
ITIC
BKTI
MKL
PMD
WPZ
FLIC
AXGN
UIS
FFKT
FBP
AVD
OFG
CATO
AGII
ARGO
ICCC
KRMD
SOTK
PLAB
CRMT
KO
WSBC
SAFM
FBNC
CNBKA
CCC
DXLG
AIRT
THMO
CDNS
EBIX
NHLD
UBSI
ED
CPSH
CHCO
FICO
WASH
CECO
ENV
HBNC
CNMD
FAST
XRAY
EPAC
CRK
HRTX
CPF
GDOT
DTE
ATRI
MATX
SNFCA
NAII
DGICB
SIVB
AIN
CBM
ETN
MITK
CLH
ALCO
IMKTA
CYBE
XOM
COHR
IPAR
CTBI
WM
QUAD
JOUT
KKR
WMLP
DY
NTG
GATX
GORO
MGM
COKE
ONB
BBN
GE
WSR
GD
SIG
PBCT
MXIM
LH
FRBK
XWEL
CSBR
ELMD
FSD
RP
HIFS
COR
TORM
JNP
LWAY
MGPI
AMRS
LNN
CDMO
MMYT
CHTR
NXPI
KMF
GLBS
IR
EFC
BIMI
TOWR
HYI
TT
LYB
LPLA
RFP
GGE
PACB
STND
VRA
BBRG
GBAB
PCYG
BAH
PRMW
GLBR
AG
HBM
SODA
GCAP
SEMG
PSF
GM
MULN
ABUS
INFU
HHC
IPHI
HRZN
ZGNX
FRC
EDF
HFBL
FLT
ASMB
LEDS
CMRE
ANCB
KNX
PSHG
IBM
AAT
ACP
AFT
AGRO
BKU
INXN
TRGP
OFED
NLSN
WD
BGX
NPTN
KMI
NAV
QADA
INN
ITT
ACNB
OXLC
RNET
LEAF
WRN
BCX
ACRX
DYSL
TROO
GNT
FF
ECYT
LAB
MX
IBIO
ELLI
GEVO
HCA
HII
CSOD
SDT
STBZ
SVVC
PCOM
IHD
SREV
PFX
FEP
PCRX
APTS
AL
STAG
HEQ
KOS
SUNS
SR
AMPE
ANDX
NMFC
ARCO
JSD
RLJ
WMGI
THR
ECOL
USCR
RPXC
SAVE
KSU
MITT
APO
WIFI
SSSS
EMO
XTNT
YNDX
PFLT
LODE
MPC
P
THTX
VATE
ZG
AMID
CHEF
AMCX
PER
AREN
VER
DPG
ORIG
PBSK
STB
